borrow_id,user_id,book_id,start_date,end_date,returned,late_fee
1,2,2,11/2/2024,11/9/2024,11/10/2024,0
2,3,3,11/3/2024,11/10/2024,11/11/2024,0
3,4,4,11/4/2024,11/11/2024,11/12/2024,0
4,5,5,11/5/2024,11/12/2024,,10000
5,6,6,11/6/2024,11/13/2024,11/14/2024,0
6,7,7,11/7/2024,11/14/2024,11/15/2024,0
7,8,8,11/8/2024,11/15/2024,11/16/2024,0
8,9,9,11/9/2024,11/16/2024,,10000
9,10,10,11/10/2024,11/17/2024,11/18/2024,0
10,1,11,11/11/2024,11/18/2024,11/19/2024,0
11,2,12,11/12/2024,11/19/2024,11/20/2024,0
12,3,13,11/13/2024,11/20/2024,,10000
13,4,14,11/14/2024,11/21/2024,11/22/2024,0
14,5,15,11/15/2024,11/22/2024,11/23/2024,0
15,6,16,11/16/2024,11/23/2024,11/24/2024,0
16,7,17,11/17/2024,11/24/2024,,10000
17,8,18,11/18/2024,11/25/2024,11/26/2024,0
18,9,19,11/19/2024,11/26/2024,11/27/2024,0
19,10,20,11/20/2024,11/27/2024,11/28/2024,0
20,1,21,11/21/2024,11/28/2024,,10000
